step,timestamp,actual_demand,lstm_forecast,reactive_servers,lstm_servers,reactive_capacity,lstm_capacity,reactive_sla_violation,lstm_sla_violation,reactive_over_prov,lstm_over_prov,reactive_action,lstm_action,reactive_cum_sla_pct,lstm_cum_sla_pct,reactive_cum_cost,lstm_cum_cost
149,2026-08-26 13:39:14,126.66668,143.54623,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6666666666666667,0.0,0.03333333333333333
150,2026-08-26 13:44:14,160.0,132.32172,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6622516556291391,0.0,0.033112582781456956
151,2026-08-26 13:49:14,120.0,131.44757,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6578947368421052,0.0,0.03289473684210526
152,2026-08-26 13:54:14,126.66668,130.72456,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6535947712418301,0.0,0.032679738562091505
153,2026-08-26 13:59:14,126.66668,130.4414,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6493506493506493,0.0,0.032467532467532464
154,2026-08-26 14:04:14,132.0,130.23868,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6451612903225806,0.0,0.03225806451612903
155,2026-08-26 14:09:14,146.66667,130.16049,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.641025641025641,0.0,0.03205128205128205
156,2026-08-26 14:14:14,146.66667,131.68742,3,2,240.0,160.0,0,0,0,0,hold,hold,0.0,0.6369426751592357,0.0,0.03184713375796178
157,2026-08-26 14:19:14,110.0,130.65991,2,2,160.0,160.0,0,0,0,0,scale_down -1,hold,0.0,0.6329113924050633,0.0,0.03164556962025317
158,2026-08-26 14:24:14,110.0,131.53978,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.628930817610063,0.0,0.031446540880503145
159,2026-08-26 14:29:14,120.0,129.24596,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.625,0.0,0.03125
160,2026-08-26 14:34:14,112.0,126.62571,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6211180124223602,0.0,0.031055900621118012
161,2026-08-26 14:39:14,112.0,122.66589,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6172839506172839,0.0,0.030864197530864196
162,2026-08-26 14:44:14,105.0,117.191574,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6134969325153374,0.0,0.03067484662576687
163,2026-08-26 14:49:14,120.0,111.89084,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6097560975609756,0.0,0.03048780487804878
164,2026-08-26 14:54:14,105.0,112.457825,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6060606060606061,0.0,0.030303030303030304
165,2026-08-26 14:59:14,100.0,112.097626,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.6024096385542169,0.0,0.030120481927710843
166,2026-08-26 15:04:14,100.0,109.6376,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5988023952095809,0.0,0.029940119760479042
167,2026-08-26 15:09:14,116.66667,107.71686,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5952380952380952,0.0,0.02976190476190476
168,2026-08-26 15:14:14,115.0,107.2338,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.591715976331361,0.0,0.029585798816568046
169,2026-08-26 15:19:14,103.33333,108.3453,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5882352941176471,0.0,0.029411764705882353
170,2026-08-26 15:24:14,96.0,107.12804,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5847953216374269,0.0,0.029239766081871343
171,2026-08-26 15:29:14,104.0,106.625984,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5813953488372093,0.0,0.029069767441860465
172,2026-08-26 15:34:14,100.0,106.565155,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5780346820809248,0.0,0.028901734104046242
173,2026-08-26 15:39:14,100.0,105.96511,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5747126436781609,0.0,0.028735632183908046
174,2026-08-26 15:44:14,105.0,103.36114,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5714285714285714,0.0,0.02857142857142857
175,2026-08-26 15:49:14,110.0,101.82003,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5681818181818182,0.0,0.028409090909090908
176,2026-08-26 15:54:14,100.0,102.66942,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5649717514124294,0.0,0.02824858757062147
177,2026-08-26 15:59:14,86.66667,103.792046,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5617977528089888,0.0,0.028089887640449437
178,2026-08-26 16:04:14,110.0,102.216675,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5586592178770949,0.0,0.027932960893854747
179,2026-08-26 16:09:14,113.33333,102.32756,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5555555555555556,0.0,0.027777777777777776
180,2026-08-26 16:14:14,95.0,103.54335,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5524861878453038,0.0,0.027624309392265192
181,2026-08-26 16:19:14,90.0,103.13332,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5494505494505495,0.0,0.027472527472527472
182,2026-08-26 16:24:14,80.0,101.11371,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.546448087431694,0.0,0.0273224043715847
183,2026-08-26 16:29:14,86.66667,98.685394,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5434782608695652,0.0,0.02717391304347826
184,2026-08-26 16:34:14,80.0,97.2961,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5405405405405406,0.0,0.02702702702702703
185,2026-08-26 16:39:14,92.0,92.552826,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5376344086021506,0.0,0.026881720430107527
186,2026-08-26 16:44:14,90.0,88.895355,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.53475935828877,0.0,0.026737967914438502
187,2026-08-26 16:49:14,100.0,88.27675,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5319148936170213,0.0,0.026595744680851064
188,2026-08-26 16:54:14,93.33333,89.59134,2,2,160.0,160.0,0,0,0,0,hold,hold,0.0,0.5291005291005291,0.0,0.026455026455026454
