machine_id,seed,variant,under_prov_weight,safety_margin,val_cost,cost_score,sla_violation_rate_pct,over_prov_waste_pct,forecast_rmse,forecast_mae
m_2056,46,pooled_no_finetune,5,0.05,0.271523,0.15894,0.2208,14.7903,2.063738,1.818928
m_2056,46,pooled_finetuned,5,0.35,0.196468,0.116998,0.883,7.2848,0.719594,0.535923
m_2065,46,pooled_no_finetune,5,0.4,0.395089,0.211581,1.1136,15.5902,9.198637,6.871402
m_2065,46,pooled_finetuned,5,0.4,0.381696,0.229399,1.7817,14.0312,9.252742,6.869348
m_2085,46,pooled_no_finetune,5,0.05,0.362222,0.144124,0.2217,13.3038,2.038832,1.789821
m_2085,46,pooled_finetuned,5,0.2,0.148889,0.412417,7.7605,2.439,0.693331,0.519651
m_2087,46,pooled_no_finetune,5,0.05,0.011038,0.037528,0.0,3.7528,2.056074,1.846218
m_2087,46,pooled_finetuned,5,0.05,0.0,0.022075,0.4415,0.0,0.515223,0.399341
m_2104,46,pooled_no_finetune,5,0.35,0.428256,0.300221,3.532,12.362,8.042946,6.131276
m_2104,46,pooled_finetuned,5,0.35,0.419426,0.293598,3.532,11.6998,7.992964,6.121381
m_2134,46,pooled_no_finetune,5,0.4,0.446903,0.909492,12.5828,28.0353,17.958774,14.414439
m_2134,46,pooled_finetuned,5,0.4,0.446903,0.88521,11.6998,30.0221,17.532282,14.212976
m_2163,46,pooled_no_finetune,10,0.4,0.220751,0.236203,1.3245,10.3753,7.462967,5.589433
m_2163,46,pooled_finetuned,5,0.35,0.209713,0.156733,2.2075,4.6358,7.376019,5.566851
m_2183,46,pooled_no_finetune,5,0.4,0.456954,0.298013,2.649,16.5563,9.066112,6.541808
m_2183,46,pooled_finetuned,5,0.35,0.452539,0.333333,4.1943,12.362,9.041488,6.468645
m_2189,46,pooled_no_finetune,5,0.3,0.214128,0.143488,1.766,5.5188,6.42207,4.819956
m_2189,46,pooled_finetuned,5,0.25,0.203091,0.183223,2.649,5.0773,6.384367,4.913974
m_2241,46,pooled_no_finetune,5,0.05,0.050773,0.101545,0.0,10.1545,2.037086,1.8319
m_2241,46,pooled_finetuned,5,0.2,0.0,0.011038,0.2208,0.0,0.47783,0.368431
m_2355,46,pooled_no_finetune,5,0.35,0.510022,0.327394,3.3408,16.0356,7.984879,6.138191
m_2355,46,pooled_finetuned,5,0.35,0.494432,0.325167,3.7862,13.5857,8.092024,6.132933
m_2380,46,pooled_no_finetune,5,0.35,0.214128,0.209713,2.649,7.7263,7.281336,5.634759
m_2380,46,pooled_finetuned,5,0.4,0.205298,0.181015,0.6623,14.7903,7.291507,5.814573
m_2647,46,pooled_no_finetune,5,0.35,0.251656,0.172185,1.3245,10.596,6.702998,5.215739
m_2647,46,pooled_finetuned,5,0.35,0.251656,0.187638,1.3245,12.1413,6.635366,5.175838
